No,Food,Glycemic Index (GI),Glycemic Load (GL),Remarks
1,Almonds,15,0,"Safe to Eat for Diabetes"
2,Aloo gobi,50,10,"Eat only in Moderation"
3,Aloo Matar,55,14,"Eat only in Moderation"
4,Aloo paratha,65,20,"Eat only in Moderation"
5,Aloo Tikki,70,20,"Eat only in Moderation"
6,Apple,36,5,"Safe to Eat for Diabetes"
7,Apricots,34,3,"Safe to Eat for Diabetes"
8,Asparagus,15,0,"Safe to Eat for Diabetes"
9,Baingan Bharta,40,9,"Safe to Eat for Diabetes"
10,Bajra roti,55,12,"Eat only in Moderation"
11,Banana,51,13,"Eat only in Moderation"
12,Basmati rice,58,22,"Eat only in Moderation"
13,Beef, lean,0,0,"Safe to Eat for Diabetes"
14,Beer,66,14,"Eat only in Moderation"
15,Beetroot,64,5,"Eat only in Moderation"
16,Bell pepper,15,0,"Safe to Eat for Diabetes"
17,Besan Ladoo,70,20,"Eat only in Moderation"
18,Bhatura,75,22,"Should be avoided in Diabetes"
19,Bhelpuri,65,15,"Eat only in Moderation"
20,Bhindi Fry,40,6,"Safe to Eat for Diabetes"
21,Bhindi Masala,40,9,"Safe to Eat for Diabetes"
22,Biryani,60,24,"Eat only in Moderation"
23,Biscuit,62,8,"Eat only in Moderation"
24,Black beans,30,7,"Safe to Eat for Diabetes"
25,Blackberries,25,2,"Safe to Eat for Diabetes"
26,Blueberries,53,6,"Safe to Eat for Diabetes"
27,Boysenberries,25,3,"Safe to Eat for Diabetes"
28,Bread Pakoda,70,25,"Eat only in Moderation"
29,Broccoli,10,0,"Safe to Eat for Diabetes"
30,Brown rice, boiled,68,16,"Eat only in Moderation"
31,Brussels sprouts,15,0,"Safe to Eat for Diabetes"
32,Bulgur,48,12,"Eat only in Moderation"
33,Burger,30,8,"Safe to Eat for Diabetes"
34,Butter,0,0,"Safe to Eat for Diabetes"
35,Butter chicken,55,12,"Eat only in Moderation"
36,Cabbage,10,0,"Safe to Eat for Diabetes"
37,Canola oil,0,0,"Safe to Eat for Diabetes"
38,Capsicum Masala,45,11,"Eat only in Moderation"
39,Carrots,39,2,"Safe to Eat for Diabetes"
40,Cashews,22,3,"Safe to Eat for Diabetes"
41,Cauliflower,15,1,"Safe to Eat for Diabetes"
42,Celery,15,0,"Safe to Eat for Diabetes"
43,Chana Bhature,65,20,"Eat only in Moderation"
44,Chana dal,8,1,"Safe to Eat for Diabetes"
45,Chana Masala,30,8,"Safe to Eat for Diabetes"
46,Chapati,62,15,"Eat only in Moderation"
47,Chawli Masala,45,11,"Eat only in Moderation"
48,Cheese, cheddar,0,0,"Safe to Eat for Diabetes"
49,Cheese, cottage,0,0,"Safe to Eat for Diabetes"
50,Cheese, mozzarella,0,0,"Safe to Eat for Diabetes"
51,Cheese, swiss,0,0,"Safe to Eat for Diabetes"
52,Cherries,22,3,"Safe to Eat for Diabetes"
53,Chicken Biryani,65,22,"Eat only in Moderation"
54,Chicken soup,25,3,"Safe to Eat for Diabetes"
55,Chicken tikka masala,50,10,"Eat only in Moderation"
56,Chickpeas,28,8,"Safe to Eat for Diabetes"
57,Chilli,15,0,"Safe to Eat for Diabetes"
58,Chole bhature,60,15,"Eat only in Moderation"
59,Coconut,45,5,"Safe to Eat for Diabetes"
60,Coconut milk,41,2,"Safe to Eat for Diabetes"
61,Cod,0,0,"Safe to Eat for Diabetes"
62,Coffee (without sugar),0,0,"Safe to Eat for Diabetes"
63,Coke,63,16,"Eat only in Moderation"
64,Corn,55,9,"Eat only in Moderation"
65,Corn chips,42,11,"Eat only in Moderation"
66,Corn flakes,81,20,"Eat only in Moderation"
67,Couscous,65,15,"Eat only in Moderation"
68,Cranberries,45,3,"Safe to Eat for Diabetes"
69,Cucumber,15,1,"Safe to Eat for Diabetes"
70,Dal,29,5,"Safe to Eat for Diabetes"
71,Dal Fry,50,13,"Eat only in Moderation"
72,Dal makhani,40,9,"Safe to Eat for Diabetes"
73,Dark chocolate,23,10,"Safe to Eat for Diabetes"
74,Dates,42,18,"Eat only in Moderation"
75,Dhokla,70,18,"Eat only in Moderation"
76,Dosa,76,15,"Eat only in Moderation"
77,Egg Biryani,60,21,"Eat only in Moderation"
78,Egg, boiled,0,0,"Safe to Eat for Diabetes"
79,Egg, white,0,0,"Safe to Eat for Diabetes"
80,Eggplant,15,1,"Safe to Eat for Diabetes"
81,Fish Curry,45,10,"Safe to Eat for Diabetes"
82,French fries,75,22,"Should be avoided in Diabetes"
83,Full cream milk,39,4,"Safe to Eat for Diabetes"
84,Gajar ka Halwa,65,18,"Eat only in Moderation"
85,Gajar Matar,45,11,"Eat only in Moderation"
86,Garlic,15,0,"Safe to Eat for Diabetes"
87,Ghee,0,0,"Safe to Eat for Diabetes"
88,Ghee Rice,70,25,"Eat only in Moderation"
89,Ginger,15,0,"Safe to Eat for Diabetes"
90,Gooseberries,25,2,"Safe to Eat for Diabetes"
91,Grapes,59,8,"Eat only in Moderation"
92,Green beans,15,0,"Safe to Eat for Diabetes"
93,Grilled fish,0,0,"Safe to Eat for Diabetes"
94,Guava,33,3,"Safe to Eat for Diabetes"
95,Gulab Jamun,65,20,"Eat only in Moderation"
96,Haddock,0,0,"Safe to Eat for Diabetes"
97,Halibut,0,0,"Safe to Eat for Diabetes"
98,Honey,61,12,"Eat only in Moderation"
99,Ice cream,57,16,"Eat only in Moderation"
100,Idli,75,14,"Eat only in Moderation"
101,Instant noodles,57,15,"Eat only in Moderation"
102,Jalebi,75,22,"Should be avoided in Diabetes"
103,Jam,65,10,"Eat only in Moderation"
104,Jowar roti,70,15,"Eat only in Moderation"
105,Kadi Pakoda,55,16,"Eat only in Moderation"
106,Kale,15,0,"Safe to Eat for Diabetes"
107,Kheer,60,15,"Eat only in Moderation"
108,Khichdi (rice and lentils),55,14,"Eat only in Moderation"
109,Kidney beans,29,7,"Safe to Eat for Diabetes"
110,Kiwi,52,4,"Safe to Eat for Diabetes"
111,Kofta Curry,60,20,"Eat only in Moderation"
112,Kulfi,60,16,"Eat only in Moderation"
113,Lamb, lean,0,0,"Safe to Eat for Diabetes"
114,Lassi, sweet,60,15,"Eat only in Moderation"
115,Lemon Rice,65,22,"Eat only in Moderation"
116,Lettuce,10,0,"Safe to Eat for Diabetes"
117,Lima beans,32,7,"Safe to Eat for Diabetes"
118,Lychee,50,6,"Safe to Eat for Diabetes"
119,Mackerel,0,0,"Safe to Eat for Diabetes"
120,Makki ki Roti,70,22,"Eat only in Moderation"
121,Malai Kofta,60,15,"Eat only in Moderation"
122,Maltitol,35,0,"Safe to Eat for Diabetes"
123,Mango,51,8,"Safe to Eat for Diabetes"
124,Mango lassi,52,16,"Eat only in Moderation"
125,Masala dosa,70,18,"Eat only in Moderation"
126,Matar Paneer,45,12,"Eat only in Moderation"
127,Matar Paneer,40,9,"Safe to Eat for Diabetes"
128,Methi Malai Matar,50,13,"Eat only in Moderation"
129,Methi Thepla,55,13,"Eat only in Moderation"
130,Milk chocolate,42,24,"Should be avoided in Diabetes"
131,Milk, skim,32,4,"Safe to Eat for Diabetes"
132,Milk, whole,41,4,"Safe to Eat for Diabetes"
133,Moong Dal,35,6,"Safe to Eat for Diabetes"
134,Mushroom,10,0,"Safe to Eat for Diabetes"
135,Mutton Biryani,65,23,"Eat only in Moderation"
136,Naan,67,18,"Eat only in Moderation"
137,Navratan Korma,55,16,"Eat only in Moderation"
138,Oat milk,69,9,"Eat only in Moderation"
139,Oats,55,13,"Eat only in Moderation"
140,Okra,20,1,"Safe to Eat for Diabetes"
141,Olive oil,0,0,"Safe to Eat for Diabetes"
142,Onion,10,1,"Safe to Eat for Diabetes"
143,Orange,43,4,"Safe to Eat for Diabetes"
144,Pakora,60,17,"Eat only in Moderation"
145,Palak paneer,30,5,"Safe to Eat for Diabetes"
146,Paneer,55,2,"Safe to Eat for Diabetes"
147,Paneer Biryani,60,21,"Eat only in Moderation"
148,Paneer Butter Masala,50,14,"Eat only in Moderation"
149,Paneer Tikka,45,11,"Eat only in Moderation"
150,Papaya,59,6,"Eat only in Moderation"
151,Parboiled rice,50,14,"Eat only in Moderation"
152,Passion fruit,30,3,"Safe to Eat for Diabetes"
153,Pav Bhaji,65,20,"Eat only in Moderation"
154,Peach,42,5,"Safe to Eat for Diabetes"
155,Peanuts,14,1,"Safe to Eat for Diabetes"
156,Pear,38,4,"Safe to Eat for Diabetes"
157,Peas Pulao,60,21,"Eat only in Moderation"
158,Pesarattu,55,15,"Eat only in Moderation"
159,Pineapple,59,7,"Eat only in Moderation"
160,Pinto beans,39,10,"Safe to Eat for Diabetes"
161,Pizza,60,22,"Eat only in Moderation"
162,Plum,39,3,"Safe to Eat for Diabetes"
163,Poha,70,20,"Eat only in Moderation"
164,Pomegranate,53,4,"Safe to Eat for Diabetes"
165,Poori,80,23,"Should be avoided in Diabetes"
166,Popcorn,65,7,"Eat only in Moderation"
167,Pork, lean,0,0,"Safe to Eat for Diabetes"
168,Pork, lean,0,0,"Safe to Eat for Diabetes"
169,Potato chips,56,12,"Eat only in Moderation"
170,Potato, boiled,78,21,"Should be avoided in Diabetes"
171,Pretzels,83,16,"Eat only in Moderation"
172,Prunes,29,10,"Safe to Eat for Diabetes"
173,Pumpkin,75,3,"Should be avoided in Diabetes"
174,Puri,80,23,"Should be avoided in Diabetes"
175,Quinoa,53,13,"Eat only in Moderation"
176,Radish,15,0,"Safe to Eat for Diabetes"
177,Ragi roti,85,20,"Eat only in Moderation"
178,Rajma,29,7,"Safe to Eat for Diabetes"
179,Rajma Rice,55,16,"Eat only in Moderation"
180,Rambutan,42,9,"Safe to Eat for Diabetes"
181,Rasgulla,65,18,"Eat only in Moderation"
182,Raspberries,32,2,"Safe to Eat for Diabetes"
183,Raspberries,32,2,"Safe to Eat for Diabetes"
184,Rava Idli,65,15,"Eat only in Moderation"
185,Rava Upma,60,19,"Eat only in Moderation"
186,Rice milk,86,14,"Eat only in Moderation"
187,Roasted chicken,0,0,"Safe to Eat for Diabetes"
188,Salmon,0,0,"Safe to Eat for Diabetes"
189,Sambar,30,8,"Safe to Eat for Diabetes"
190,Samosa,70,35,"Eat only in Moderation"
191,Sardines,0,0,"Safe to Eat for Diabetes"
192,Sev Puri,70,20,"Eat only in Moderation"
193,Shahi Paneer,50,14,"Eat only in Moderation"
194,Shrimp Biryani,65,22,"Eat only in Moderation"
195,Skimmed milk,37,4,"Safe to Eat for Diabetes"
196,Sooji Halwa,65,20,"Eat only in Moderation"
197,Sorbitol,9,0,"Safe to Eat for Diabetes"
198,Soy milk,34,4,"Safe to Eat for Diabetes"
199,Soybeans,15,1,"Safe to Eat for Diabetes"
200,Spinach,15,0,"Safe to Eat for Diabetes"
201,Spinach Dal,45,10,"Safe to Eat for Diabetes"
202,Stevia,0,0,"Safe to Eat for Diabetes"
203,Strawberry,41,1,"Safe to Eat for Diabetes"
204,Sugar (sucrose),65,10,"Eat only in Moderation"
205,Sunflower oil,0,0,"Safe to Eat for Diabetes"
206,Sushi rice,85,23,"Should be avoided in Diabetes"
207,Sweet potato,70,22,"Eat only in Moderation"
208,Tandoori chicken,0,0,"Safe to Eat for Diabetes"
209,Tandoori Roti,60,15,"Eat only in Moderation"
210,Tea (without sugar),0,0,"Safe to Eat for Diabetes"
211,Tofu Curry,40,9,"Safe to Eat for Diabetes"
212,Tomato,15,1,"Safe to Eat for Diabetes"
213,Tomato Rice,65,22,"Eat only in Moderation"
214,Tomato soup,38,4,"Safe to Eat for Diabetes"
215,Trout,0,0,"Safe to Eat for Diabetes"
216,Tuna,0,0,"Safe to Eat for Diabetes"
217,Turkey, lean,0,0,"Safe to Eat for Diabetes"
218,Turnip,62,2,"Eat only in Moderation"
219,Upma,60,16,"Eat only in Moderation"
220,Uttapam,70,20,"Eat only in Moderation"
221,Vada,75,20,"Eat only in Moderation"
222,Vada Pav,70,22,"Eat only in Moderation"
223,Veg Biryani,60,20,"Eat only in Moderation"
224,Veg Cutlet,60,20,"Eat only in Moderation"
225,Veg Fried Rice,70,25,"Eat only in Moderation"
226,Veg Handi,50,14,"Eat only in Moderation"
227,Veg Kofta,60,20,"Eat only in Moderation"
228,Veg Kurma,50,14,"Eat only in Moderation"
229,Veg Manchurian,65,22,"Eat only in Moderation"
230,Veg Pulao,55,17,"Eat only in Moderation"
231,Veg Samosa,70,23,"Eat only in Moderation"
232,Veg Spring Roll,70,23,"Eat only in Moderation"
233,Vegetable Biryani,60,20,"Eat only in Moderation"
234,Vegetable Thali,55,15,"Eat only in Moderation"
235,Veggie Burger,60,20,"Eat only in Moderation"
236,Vodka,0,0,"Safe to Eat for Diabetes"
237,Walnuts,15,0,"Safe to Eat for Diabetes"
238,Watermelon,76,4,"Should be avoided in Diabetes"
239,Wheat bread,71,10,"Should be avoided in Diabetes"
240,White pasta,45,23,"Should be avoided in Diabetes"
241,White rice, boiled,73,29,"Should be avoided in Diabetes"
242,Whole Green Moong Dal,45,10,"Safe to Eat for Diabetes"
243,Whole wheat pasta,37,15,"Eat only in Moderation"
244,Wine,0,0,"Safe to Eat for Diabetes"
245,Xylitol,13,0,"Safe to Eat for Diabetes"
246,Yellow Dal Tadka,50,13,"Eat only in Moderation"
247,Yoghurt, low fat,33,3,"Safe to Eat for Diabetes"
248,Yogurt, plain,14,1,"Safe to Eat for Diabetes"
249,Zeera Aloo,55,16,"Eat only in Moderation"
250,Zucchini,15,1,"Safe to Eat for Diabetes"